"Date","Price","Open","High","Low","Change %"
"Feb 06, 2019","9.2047","9.1151","9.2073","9.1105","0.98%"
"Feb 05, 2019","9.1151","9.1032","9.1410","9.0886","0.15%"
"Feb 04, 2019","9.1010","9.0525","9.1263","9.0489","0.39%"
"Feb 01, 2019","9.0652","9.0472","9.0675","9.0243","0.19%"
"Jan 31, 2019","9.0480","9.0418","9.0593","9.0099","0.04%"
"Jan 30, 2019","9.0447","9.0684","9.1034","9.0268","-0.27%"
"Jan 29, 2019","9.0688","9.0530","9.0817","9.0354","0.17%"
"Jan 28, 2019","9.0530","9.0453","9.0808","9.0252","0.05%"
"Jan 25, 2019","9.0484","9.0858","9.0967","9.0360","-0.41%"
"Jan 24, 2019","9.0859","9.0172","9.1015","9.0070","0.77%"
"Jan 23, 2019","9.0168","9.0240","9.0350","9.0035","-0.11%"
"Jan 22, 2019","9.0267","9.0157","9.0452","9.0095","0.12%"
"Jan 21, 2019","9.0158","9.0218","9.0330","9.0006","-0.12%"
"Jan 18, 2019","9.0268","9.0195","9.0310","8.9821","0.07%"
"Jan 17, 2019","9.0204","8.9982","9.0540","8.9860","0.23%"
"Jan 16, 2019","9.0001","8.9673","9.0103","8.9529","0.36%"
"Jan 15, 2019","8.9674","8.9491","9.0005","8.9208","0.20%"
"Jan 14, 2019","8.9497","8.9343","8.9635","8.9169","0.23%"
"Jan 11, 2019","8.9292","8.9058","8.9456","8.8575","0.27%"
"Jan 10, 2019","8.9050","8.8700","8.9163","8.8532","0.42%"
"Jan 09, 2019","8.8679","8.9262","8.9475","8.8571","-0.69%"
"Jan 08, 2019","8.9292","8.8975","8.9406","8.8756","0.37%"
"Jan 07, 2019","8.8960","8.9606","8.9626","8.8891","-0.71%"
"Jan 04, 2019","8.9593","9.0004","9.0169","8.9318","-0.48%"
"Jan 03, 2019","9.0024","9.0176","9.0751","8.9889","-0.17%"
"Jan 02, 2019","9.0174","8.8707","9.0210","8.8498","1.65%"
"Jan 01, 2019","8.8710","8.8551","8.8767","8.8551","0.19%"
"Dec 31, 2018","8.8539","8.9587","8.9897","8.8517","-1.39%"
"Dec 30, 2018","8.9785","8.9822","8.9949","8.9733","0.15%"
"Dec 28, 2018","8.9653","9.0108","9.0159","8.9357","-0.48%"
"Dec 27, 2018","9.0084","9.0996","9.1003","8.9897","-1.04%"
"Dec 26, 2018","9.1029","9.0574","9.1062","9.0384","0.53%"
"Dec 25, 2018","9.0548","9.0487","9.0597","9.0425","0.10%"
"Dec 24, 2018","9.0457","9.0458","9.0750","9.0135","-0.01%"
"Dec 23, 2018","9.0469","9.0471","9.0584","9.0424","0.05%"
"Dec 21, 2018","9.0428","8.9760","9.0640","8.9244","0.74%"
"Dec 20, 2018","8.9761","9.0981","9.1012","8.9250","-1.32%"
"Dec 19, 2018","9.0966","9.0695","9.1116","9.0339","0.29%"
"Dec 18, 2018","9.0700","9.0591","9.0896","9.0231","0.13%"
"Dec 17, 2018","9.0586","9.0596","9.0889","9.0330","-0.04%"
"Dec 16, 2018","9.0618","9.0636","9.0660","9.0592","0.02%"
"Dec 14, 2018","9.0602","9.0606","9.1179","9.0519","0.04%"
"Dec 13, 2018","9.0566","9.0886","9.0955","9.0347","-0.33%"
"Dec 12, 2018","9.0870","9.0899","9.1633","9.0705","-0.03%"
"Dec 11, 2018","9.0895","9.0919","9.1006","9.0262","-0.06%"
"Dec 10, 2018","9.0954","9.0363","9.1054","9.0075","0.60%"
"Dec 09, 2018","9.0409","9.0412","9.0442","9.0335","-0.01%"
"Dec 07, 2018","9.0419","8.9880","9.0495","8.9809","0.60%"
"Dec 06, 2018","8.9880","8.9819","9.0345","8.9726","0.10%"
"Dec 05, 2018","8.9789","9.0165","9.0477","8.9479","-0.45%"
"Dec 04, 2018","9.0193","9.0135","9.0359","8.9496","0.07%"
"Dec 03, 2018","9.0132","9.1049","9.1049","9.0097","-0.62%"
"Dec 02, 2018","9.0695","9.0637","9.0847","9.0632","-0.41%"
"Nov 30, 2018","9.1065","9.0663","9.1167","9.0610","0.44%"
"Nov 29, 2018","9.0663","9.0368","9.0911","9.0085","0.32%"
"Nov 28, 2018","9.0373","9.1072","9.1225","9.0161","-0.77%"
"Nov 27, 2018","9.1071","9.0946","9.1210","9.0690","0.14%"
"Nov 26, 2018","9.0943","9.0959","9.1006","9.0315","0.03%"
"Nov 25, 2018","9.0919","9.0905","9.0965","9.0901","-0.01%"
"Nov 23, 2018","9.0929","9.0421","9.0992","9.0215","0.58%"
"Nov 22, 2018","9.0409","9.0428","9.0602","9.0185","-0.02%"
"Nov 21, 2018","9.0428","9.0937","9.0999","9.0167","-0.56%"
"Nov 20, 2018","9.0937","9.0038","9.1061","8.9855","0.99%"
"Nov 19, 2018","9.0043","9.0076","9.0242","8.9823","-0.03%"
"Nov 18, 2018","9.0072","9.0076","9.0097","9.0016","0.02%"
